Kraj,Počet obyvatel - koncový stav,Počet obyvatel - střední stav,Sňatky,Rozvody,Živě narození,z toho mimo manželství,Zemřelí,z toho do 1 roku,Přirozený přírůstek/úbytek,Přistěhovalí,z toho z ciziny,Vystěhovalí,z toho do ciziny,Přírůstek/úbytek stěhováním,z toho s cizinou,Celkový přírůstek/úbytek
Hlavní město Praha,1280508,1272732,6415,2715,14929,6121,12141,30,2788,36901,14110,26630,6139,10271,7971,13059
Středočeský kraj,1338982,1333249,6154,3524,14748,6790,12695,42,2053,26274,3894,16202,1506,10072,2388,12125
Jihočeský kraj,638782,638307,3175,1532,6747,3342,6443,24,304,5480,1543,4836,652,644,891,948
Plzeňský kraj,578629,577638,2857,1380,5940,3001,6153,13,-213,6189,2364,3982,742,2207,1622,1994
Karlovarský kraj,296749,297317,1504,739,2815,1813,3167,12,-352,3052,1170,3755,609,-703,561,-1055
Ústecký kraj,821377,822300,3723,2245,8263,5304,9058,43,-795,7324,1985,8002,1043,-678,942,-1473
Liberecký kraj,440636,440179,2126,1102,4960,2688,4385,13,575,4834,1298,4412,461,422,837,997
Královéhradecký kraj,550804,551177,2565,1300,5616,2850,5681,18,-65,4432,952,4984,435,-552,517,-617
Pardubický kraj,517087,516553,2472,1171,5533,2650,5234,10,299,4969,1232,4330,371,639,861,938
Kraj Vysočina,508952,509187,2445,945,5307,2324,4997,12,310,3456,594,4289,257,-833,337,-523
Jihomoravský kraj,1178812,1176972,5837,2758,13193,5668,11738,27,1455,11416,4694,9082,2780,2334,1914,3789
Olomoucký kraj,633925,634081,2925,1432,6697,3367,6731,19,-34,4464,905,5225,620,-761,285,-795
Zlínský kraj,583698,584155,2802,1228,5863,2451,6194,13,-331,3627,702,4274,425,-647,277,-978
Moravskoslezský kraj,1209879,1211437,5768,2925,12052,6364,13133,41,-1081,5578,2060,7929,1399,-2351,661,-3432
