Kraj,Počet obyvatel - koncový stav,Počet obyvatel - střední stav,Sňatky,Rozvody,Živě narození,z toho mimo manželství,Zemřelí,z toho do 1 roku,Přirozený přírůstek/úbytek,Přistěhovalí,z toho z ciziny,Vystěhovalí,z toho do ciziny,Přírůstek/úbytek stěhováním,z toho s cizinou,Celkový přírůstek/úbytek
Hlavní město Praha,1357326,1338530,6983,2370,13528,5553,12810,19,718,112363,92046,31161,6705,81202,85341,81920
Středočeský kraj,1439391,1427394,6904,3048,13467,6336,14351,24,-884,70982,47204,17531,2272,53451,44932,52567
Jihočeský kraj,652303,649455,3313,1148,6087,3089,7416,14,-1329,21648,17567,5063,930,16585,16637,15256
Plzeňský kraj,605388,598258,2987,1043,5509,2760,6698,15,-1189,32375,28370,4505,1117,27870,27253,26681
Karlovarský kraj,293595,291398,1527,577,2370,1422,3527,7,-1157,14493,12468,2951,559,11542,11909,10385
Ústecký kraj,812337,810107,4281,1740,7257,4551,9879,30,-2622,22948,17735,6887,976,16061,16759,13439
Liberecký kraj,449177,446850,2257,826,3921,2038,5013,8,-1092,17151,13792,4452,702,12699,13090,11607
Královéhradecký kraj,555267,552724,2836,955,5058,2585,6176,13,-1118,18773,14614,4971,644,13802,13970,12684
Pardubický kraj,528761,525863,2647,829,4929,2385,6049,12,-1120,20560,16248,5197,784,15363,15464,14243
Kraj Vysočina,514777,512701,2416,813,4979,2248,5861,12,-882,15931,12405,4297,553,11634,11852,10752
Jihomoravský kraj,1217200,1209381,6171,2177,12078,5202,13344,21,-1266,43204,36261,9306,2340,33898,33921,32632
Olomoucký kraj,631802,629823,3242,1104,5985,2915,7481,12,-1496,14838,10902,4470,494,10368,10408,8872
Zlínský kraj,580531,579265,2901,1002,5361,2250,6695,15,-1334,13638,10541,4205,521,9433,10020,8099
Moravskoslezský kraj,1189674,1187776,6355,2214,10770,5538,14919,28,-4149,22998,19395,7164,1209,15834,18186,11685
