Kraj,Počet obyvatel - koncový stav,Počet obyvatel - střední stav,Sňatky,Rozvody,Živě narození,z toho mimo manželství,Zemřelí,z toho do 1 roku,Přirozený přírůstek/úbytek,Přistěhovalí,z toho z ciziny,Vystěhovalí,z toho do ciziny,Přírůstek/úbytek stěhováním,z toho s cizinou,Celkový přírůstek/úbytek
Hlavní město Praha,1267449,1262507,6073,2983,14759,6087,12420,26,2339,33711,13310,27680,7206,6031,6104,8370
Středočeský kraj,1326876,1320721,5903,3670,14602,6670,13049,34,1553,25763,3923,15739,2025,10024,1898,11577
Jihočeský kraj,637834,637292,2887,1583,6600,3187,6933,21,-333,5154,1309,4287,652,867,657,534
Plzeňský kraj,576616,575665,2638,1462,5861,2896,6307,13,-446,5594,1843,3655,676,1939,1167,1493
Karlovarský kraj,297828,298506,1392,747,2731,1710,3268,9,-537,2730,1046,3658,678,-928,368,-1465
Ústecký kraj,822826,823381,3572,2117,8313,5179,9238,37,-925,7358,2161,7579,985,-221,1176,-1146
Liberecký kraj,439639,439152,2031,1235,4683,2513,4558,10,125,4764,1285,4101,420,663,865,788
Královéhradecký kraj,551421,551270,2465,1360,5582,2777,5836,10,-254,4506,832,4421,420,85,412,-169
Pardubický kraj,516149,516247,2382,1219,5302,2502,5440,10,-138,4190,906,4275,406,-85,500,-223
Kraj Vysočina,509475,509507,2333,1049,5349,2256,5178,13,171,3285,492,3876,309,-591,183,-420
Jihomoravský kraj,1175025,1173563,5414,2770,12771,5501,12106,22,665,10537,4349,9030,2934,1507,1415,2172
Olomoucký kraj,634718,635094,2864,1515,6498,3134,7000,14,-502,4328,802,4819,467,-491,335,-993
Zlínský kraj,584676,584828,2696,1323,5847,2374,6290,21,-443,3583,739,3725,364,-142,375,-585
Moravskoslezský kraj,1213311,1215209,5541,3050,11866,6190,13550,32,-1684,5125,1925,7806,1403,-2681,522,-4365
