Kraj,Počet obyvatel - koncový stav,Počet obyvatel - střední stav,Sňatky,Rozvody,Živě narození,z toho mimo manželství,Zemřelí,z toho do 1 roku,Přirozený přírůstek/úbytek,Přistěhovalí,z toho z ciziny,Vystěhovalí,z toho do ciziny,Přírůstek/úbytek stěhováním,z toho s cizinou,Celkový přírůstek/úbytek
Hlavní město Praha,1335084,1327272,5455,2633,14713,5966,13621,26,1092,40582,19789,30867,8317,9715,11472,10807
Středočeský kraj,1397997,1392407,5631,3209,14437,6754,15302,21,-865,30195,7386,16474,2267,13721,5119,12856
Jihočeský kraj,643551,643759,2792,1345,6552,3316,7800,15,-1248,6294,2243,5578,1713,716,530,-532
Plzeňský kraj,591041,590889,2479,1207,5876,2891,7066,13,-1190,7243,3501,4911,1727,2332,1774,1142
Karlovarský kraj,293311,294187,1232,672,2682,1682,4026,6,-1344,3002,1248,3011,513,-9,735,-1353
Ústecký kraj,817004,819476,3508,1745,7947,4987,10793,25,-2846,7255,2284,8370,2262,-1115,22,-3961
Liberecký kraj,442476,443161,1906,991,4557,2431,5252,10,-695,4922,1798,5441,1792,-519,6,-1214
Královéhradecký kraj,550803,551605,2228,1124,5526,2846,6694,15,-1168,5359,1724,5035,616,324,1108,-844
Pardubický kraj,522856,523350,2184,1012,5454,2649,6383,19,-929,6024,2231,4901,898,1123,1333,194
Kraj Vysočina,508852,509855,2154,890,5349,2385,6450,6,-1101,4456,1451,4316,576,140,875,-961
Jihomoravský kraj,1195327,1193984,5272,2266,12859,5645,14015,37,-1156,13232,6776,8738,2379,4494,4397,3338
Olomoucký kraj,630522,631767,2665,1255,6584,3294,8126,10,-1542,4907,1219,4858,606,49,613,-1493
Zlínský kraj,580119,581374,2513,1033,5834,2513,7794,13,-1960,4273,1465,4749,1187,-476,278,-2436
Moravskoslezský kraj,1192834,1197069,5396,2352,11830,6049,15967,33,-4137,5983,2546,9551,3881,-3568,-1335,-7705
