Kraj,Počet obyvatel - koncový stav,Počet obyvatel - střední stav,Sňatky,Rozvody,Živě narození,z toho mimo manželství,Zemřelí,z toho do 1 roku,Přirozený přírůstek/úbytek,Přistěhovalí,z toho z ciziny,Vystěhovalí,z toho do ciziny,Přírůstek/úbytek stěhováním,z toho s cizinou,Celkový přírůstek/úbytek
Hlavní město Praha,1181126,1183900,6973,3842,9453,1999,13425,22,-3972,11120,.,12877,.,-1757,.,-5729
Středočeský kraj,1115038,1113149,6038,3303,9936,1884,12777,35,-2841,13821,.,7296,.,6525,.,3684
Jihočeský kraj,625874,625991,3423,1718,5650,1017,6370,20,-720,3419,.,2937,.,482,.,-238
Plzeňský kraj,551281,551650,3129,1672,4887,1008,5970,25,-1083,2774,.,2280,.,494,.,-589
Karlovarský kraj,304400,304599,1847,1161,2900,1202,3013,15,-113,1879,.,2189,.,-310,.,-423
Ústecký kraj,827013,826992,4499,2717,8003,3121,8773,47,-770,5229,.,4597,.,632,.,-138
Liberecký kraj,429121,429113,2458,1307,4090,1171,4526,20,-436,3264,.,2719,.,545,.,109
Královéhradecký kraj,550780,551297,3049,1559,4969,969,5799,14,-830,3131,.,3172,.,-41,.,-871
Pardubický kraj,508566,508542,2666,1328,4613,760,5136,19,-523,3149,.,2804,.,345,.,-178
Kraj Vysočina,520763,521019,2656,1161,4761,559,5375,15,-614,2795,.,2890,.,-95,.,-709
Jihomoravský kraj,1135586,1136689,6053,2915,9567,1603,12070,31,-2503,4935,.,4135,.,800,.,-1703
Olomoucký kraj,641072,641554,3169,1735,5510,1107,6734,25,-1224,3372,.,3092,.,280,.,-944
Zlínský kraj,597890,598057,2980,1290,5290,641,6172,20,-882,2967,.,2534,.,433,.,-449
Moravskoslezský kraj,1278036,1279951,6381,3996,11281,2751,12861,65,-1580,3280,.,5074,.,-1794,.,-3374
