Kraj,Počet obyvatel - koncový stav,Počet obyvatel - střední stav,Sňatky,Rozvody,Živě narození,z toho mimo manželství,Zemřelí,z toho do 1 roku,Přirozený přírůstek/úbytek,Přistěhovalí,z toho z ciziny,Vystěhovalí,z toho do ciziny,Přírůstek/úbytek stěhováním,z toho s cizinou,Celkový přírůstek/úbytek
Hlavní město Praha,1308632,1301135,6549,2798,15460,6294,12417,31,3043,40503,19784,29427,7250,11076,12534,14119
Středočeský kraj,1369332,1360998,6656,3397,14776,6941,13687,24,1089,31078,7424,15630,1747,15448,5677,16537
Jihočeský kraj,642133,640909,3407,1439,6748,3391,6696,21,52,6697,2753,4812,756,1885,1997,1937
Plzeňský kraj,584672,582601,3034,1386,6082,3136,6276,10,-194,7959,4197,3909,796,4050,3401,3856
Karlovarský kraj,294896,295285,1631,678,2755,1700,3491,13,-736,3553,1642,3607,836,-54,806,-790
Ústecký kraj,820789,820580,4299,2106,8099,5132,9338,28,-1239,8373,3043,7425,1081,948,1962,-291
Liberecký kraj,442356,441608,2265,1000,4725,2563,4705,18,20,5560,2219,4524,584,1036,1635,1056
Královéhradecký kraj,551021,550688,2791,1273,5677,2829,6024,12,-347,5340,1692,5061,570,279,1122,-68
Pardubický kraj,520316,519125,2648,1120,5526,2704,5528,14,-2,6539,2681,4558,541,1981,2140,1979
Kraj Vysočina,509274,509019,2689,1064,5430,2359,5277,15,153,4460,1555,4255,403,205,1152,358
Jihomoravský kraj,1187667,1184729,6156,2684,13594,5958,12542,28,1052,12649,5913,9241,2698,3408,3215,4460
Olomoucký kraj,632492,632547,3204,1417,6699,3334,6952,24,-253,4867,1309,5300,597,-433,712,-686
Zlínský kraj,582921,582860,2856,1285,6078,2569,6338,12,-260,4230,1375,4105,427,125,948,-135
Moravskoslezský kraj,1203299,1204346,6285,2666,12387,6428,13649,42,-1262,6114,2561,7439,1233,-1325,1328,-2587
