Kraj,Počet obyvatel - koncový stav,Počet obyvatel - střední stav,Sňatky,Rozvody,Živě narození,z toho mimo manželství,Zemřelí,z toho do 1 roku,Přirozený přírůstek/úbytek,Přistěhovalí,z toho z ciziny,Vystěhovalí,z toho do ciziny,Přírůstek/úbytek stěhováním,z toho s cizinou,Celkový přírůstek/úbytek
Hlavní město Praha,1324277,1315311,6841,2743,14933,6025,12178,30,2755,42328,22301,29438,7474,12890,14827,15645
Středočeský kraj,1385141,1377505,6872,3381,14836,6944,13471,29,1365,30770,8019,16326,2016,14444,6003,15809
Jihočeský kraj,644083,643145,3284,1433,6665,3286,6885,18,-220,7207,3243,5037,990,2170,2253,1950
Plzeňský kraj,589899,587531,3006,1279,6027,2914,6356,13,-329,9496,5480,3940,863,5556,4617,5227
Karlovarský kraj,294664,294807,1593,694,2827,1684,3405,9,-578,3572,1527,3226,585,346,942,-232
Ústecký kraj,820965,820537,4207,2022,8094,5138,9208,32,-1114,8696,3397,7406,1084,1290,2313,176
Liberecký kraj,443690,442947,2288,1180,4659,2457,4607,13,52,5647,2246,4365,670,1282,1576,1334
Královéhradecký kraj,551647,551208,2797,1286,5504,2828,5901,9,-397,5795,2146,4772,521,1023,1625,626
Pardubický kraj,522662,521146,2552,1117,5672,2678,5558,9,114,6967,3089,4735,724,2232,2365,2346
Kraj Vysočina,509813,509370,2666,1030,5497,2512,5636,10,-139,4984,1866,4306,444,678,1422,539
Jihomoravský kraj,1191989,1189530,6164,2631,13328,5687,12190,34,1138,12995,6318,9811,3211,3184,3107,4322
Olomoucký kraj,632015,632141,3213,1377,6359,3139,6914,15,-555,5410,1606,5332,721,78,885,-477
Zlínský kraj,582555,582710,2903,1274,5774,2508,6291,20,-517,4381,1561,4230,507,151,1054,-366
Moravskoslezský kraj,1200539,1201436,6484,2694,12056,6293,13762,47,-1706,6444,2772,7498,1491,-1054,1281,-2760
