Kraj,Počet obyvatel - koncový stav,Počet obyvatel - střední stav,Sňatky,Rozvody,Živě narození,z toho mimo manželství,Zemřelí,z toho do 1 roku,Přirozený přírůstek/úbytek,Přistěhovalí,z toho z ciziny,Vystěhovalí,z toho do ciziny,Přírůstek/úbytek stěhováním,z toho s cizinou,Celkový přírůstek/úbytek
Hlavní město Praha,1243201,1244762,5531,3002,13867,5369,12149,22,1718,30473,11869,35770,15453,-5297,-3584,-3579
Středočeský kraj,1302336,1297209,5252,3793,14218,6003,12924,23,1294,24781,3219,15555,3081,9226,138,10520
Jihočeský kraj,636707,636443,2600,1747,6374,2916,6604,19,-230,4711,939,4385,824,326,115,96
Plzeňský kraj,573469,572882,2367,1613,5510,2556,6061,14,-551,5160,1632,3827,1012,1333,620,782
Karlovarský kraj,300309,300999,1300,879,2826,1715,3186,3,-360,2697,967,3754,904,-1057,63,-1417
Ústecký kraj,825120,825842,3161,2252,8060,4779,9277,29,-1217,6978,2071,7405,1309,-427,762,-1644
Liberecký kraj,438609,438473,1877,1311,4535,2258,4423,20,112,4236,863,4333,725,-97,138,15
Královéhradecký kraj,551909,552053,2268,1543,5451,2569,5918,11,-467,4098,634,4668,741,-570,-107,-1037
Pardubický kraj,515985,515781,2057,1257,5077,2248,5392,10,-315,4156,849,4296,731,-140,118,-455
Kraj Vysočina,510209,510522,2043,1125,4920,1916,5129,6,-209,3125,390,3914,400,-789,-10,-998
Jihomoravský kraj,1170078,1168577,5043,3000,12403,4914,11629,29,774,9308,3611,8654,3167,654,444,1428
Olomoucký kraj,636356,636659,2632,1713,6322,2889,6830,19,-508,3787,586,4532,570,-745,16,-1253
Zlínský kraj,586299,586594,2383,1381,5585,2090,6354,22,-769,3100,507,3725,491,-625,16,-1394
Moravskoslezský kraj,1221832,1223923,4985,3279,11603,5778,13284,38,-1681,4417,1442,7506,1468,-3089,-26,-4770
